id,name,ml_target,bio,most_common_language
0,Eiryyy,0,JavaScript / TypeScript / Go / Ruby,JavaScript
2,JpMCarrilho,1,"quase um inventor

fundador do @corre-social ",Jupyter Notebook
3,SuhwanCha,0,"The LORD is my shepherd, I lack nothing. Psalms 23:1",Dart
4,sunilangadi2,1,"Currently on a mission to debug the mysteries of universal coding!!!
Will code for Innovation plus coffee and good laughs! ☕😄 ",Python
5,j6montoya,0,Software Developer,JavaScript
6,sfate,0,"𝖗𝖚𝖘𝖓𝖎 𝖕𝖞𝖟𝖉𝖆 (""rusni pyzda"") evangelist ..
lad with compulsive laughing condition ..
⚠️️ (loud AF honestly)
.. leave a message after the beep",Shell
7,amituuush,0,Software Engineer,HTML
8,mauroherlein,0,Estudiante de Lic en sistemas.,JavaScript
10,llazzaro,0,"Always fooled by randomness .
Computer Science (FCEN-UBA)",Python
11,beeva-manueldepaz,0,Old Professional Github Profile | BEEVA,JavaScript
12,damianmuti,0,"Father of Camila, Art Director and passionate UX Developer.",JavaScript
13,apobbati,0,Bitcoin and Kubernetes,Shell
14,hwlv,0,Life is magic. Coding is art. just a student,JavaScript
15,haroldoramirez,0,"Systems Analyst, DevOps, Full Stack Developer. Develop software for the web in CSS, Javascript, HTML, Java and Scala.

",JavaScript
16,jasonblanchard,0,Software engineer and technical leader,JavaScript
17,BahiHussein,0,"i observe, learn, plan, code and execute ",JavaScript
21,tiensonqin,0,"Maker of @logseq
",JavaScript
22,pdokas,0,ᕕ( ᐛ )ᕗ,JavaScript
23,maxfierke,0,got bit by a computer when I was 3 and now I can't stop feeding it code please help me,Shell
24,davidthewatson,0,software is the message,Python
25,kidbai,0,Web Developer & keep cats,JavaScript
28,ashphy,0,Software Engineer,CSS
29,soberanes,0,Web developer · Runner · Life Explorer,PHP
30,rajatpatel2113,0,Just starting out.,HTML
31,ehlxr,0,Happiness Is A Way Station Between Too Much And Too Little.,Go
32,city292,1,"remote sensing, deep learning, earthquake, building damage assessment",Python
33,riverphoenix,1,All things Product,Python
34,AnqiYang,1,An enthusiast in computer vision 🌈 and computational photography 📷.,Python
35,CN-Sean,0,yo,JavaScript
36,Myoursky,0,front-end developer,JavaScript
37,ariepratama,1,Software Engineer,Jupyter Notebook
38,linjunpop,0,"🏝️ Developer. @ruby, @elixir-lang.",Ruby
39,MLoughry,0,Principal Software Engineer on Outlook Web,TypeScript
41,kmiladi,0,"PHP, Symfony, Go Developer",PHP
46,ngothanhtai,0,A ReactJS and React Native Developer,Objective-C
47,diluga,0,Focus RGW@Ceph,Shell
48,ForrestPi,0,Master,Python
49,sorenbouma,1,"Machine Learning Alchemist at IMAGR.


sbou093@aucklanduni.ac.nz",Python
50,th3brink,0,"Flutter, React, Angular, TS, and Dart are my JAM right now. Building apps and businesses with a touch of games is my passion right now.",JavaScript
51,damianlajara,0,"Senior Software Engineer /
React Connoisseur /
Ruby Lover /
.
.
.
What are labels good for anyways?",JavaScript
52,DQNEO,0,Software Engineer at @mercari,C
53,carloseberhardt,0,Troublemaker.,JavaScript
54,moraispgsi,0,Full stack Web developer.,JavaScript
56,TarrySingh,1,"€ntrepreneur, ℝesearcher, ""_developer_"" (systems guy - data, databases, infrastructure, cloud). Background in Nautical Engineering, astrʘn⊕my,⎩mατh⎭& ρhysicS",Python
57,gideonheilbron,0,Freelance Front-end/UI developer with 14+ years experience. I ❤️ working on creative & challenging projects using the latest tools.,JavaScript
58,roalcantara,0,"An ape who happens to talk, code and tweet.",JavaScript
59,novinsh,1,PhD student in Machine Learning,Python
60,XiaocongDong,0,Code Monkey,JavaScript
61,muhammadfaizan,0,"JS enthusiast...
Design Patterns lover..
A generalist with specialties..

contact: muhammad.faizan01@live.com
linkedin: https://www.linkedin.com/in/mfaizan",JavaScript
62,bigzhao,1,"NLPer in ByteDance.
内推请戳https://jobs.bytedance.com/referral/pc/position/share/?token=MjsxNjE0MTUxNTk2MDAwOzY2ODgyMjY1MzQ1MjIwMT",Python
63,guillecro,0,System Engineer. He/Him. Co-creator of @virtuagora.,JavaScript
64,7772,0,Hello.,JavaScript
65,paranoiasystem,0,"Hi, I’m Marco Ferraioli A.K.A. ParanoiaSystem.",JavaScript
67,jasperblues,0,"Programmer. Been doing this for a while - I started out on punch-cards with a pair of live snakes in a hurricane.

Loved it ever since. ",Shell
68,ogirginc,0,"A full-stack software developer, specialising in the back-end with the focus on Ruby, who is passionately curious about technology.",Ruby
69,shogochiai,0,Author of ERC-7546 UCS - VM primitive of governance.,JavaScript
70,TinaBryan,0,"ElToro CSM, DevOps Engineer,
Code PaLOUsa Volunteer Coordinator,
GetAClue Escape Adventures,
Code Louisville FEW Mentor",HTML
71,iksnae,0,a passionate creative technologist and liaison between humans and machines.,JavaScript
72,mafellows,1,Web3 & Solidity.,Solidity
73,kentcdodds,0,"Improving the world with quality software · Husband, Father, Latter-day Saint, Teacher, OSS · @remix-run · TestingJavaScript.com · EpicReact.Dev · Be Kind",JavaScript
74,DennisWanjiru,0,Figma | TypeScript | Next | Vue | React Native | Pyth | FastAPI | Flask | Postgres,HTML
75,rupesh1310,0,"I am self-taught Web developer.
Expressing myself mostly in JavaScript,Java &Python .
☕💻❤️ ",JavaScript
76,ayberkanilatsiz,0,"Contact: ayberkanilatsiz@gmail.com
Software Developer",JavaScript
77,fangying,1,"OS virtuazlization developer, working on KVM and QEMU and dedicated to enable Cloud Computing for ICT infrastrctures.",Shell
78,rozentill,1,Power arts with tech.,Python
79,talentkeychen,1,Condensed matter theory and theoretical quantum physics,Python
80,lilosir,0,Build something,JavaScript
81,g8up,0,码匠,JavaScript
82,shz2050,0,Seize the day.,Objective-C
83,Bjoux2,1,"Bioinformatics       &
Cultural heritage conservation",Python
84,MasihKarimi,0,"Full Stack Application Developer
",HTML
86,milon,0,"Programmer, Author, Tech Enthusiast.",PHP
87,fernandojsg,0,"front-end, computer graphics, WebGL, WebXR
",JavaScript
88,keyvanakbary,0,"Head of Engineering, Cabify",HTML
89,MarcoCabazal,0,"swift (ios, macos), ruby (rails), js (react, react-native, express)",Ruby
90,hisrg,1,Computer Science,Python
91,timmo001,0,🤖 Tinkerer 👩‍💻 Developer 🤓 All Round Nerd,Dockerfile
92,AD7six,0,Happily slacking at @seatgeek,PHP
94,starkwang,0,"Product Lead @TencentCloud @TencentCloudBase. Node.js Core Collaborator. Focus on Serverless, PaaS, FaaS.",JavaScript
96,stoprocent,0,"Developer and Architect IoT/Mobile
Currently @ Assa Abloy",JavaScript
97,pmn,0,✨🤘✨,JavaScript
98,aviflax,0,Software developer,Clojure
99,paulgureghian,1,"Full Stack Developer.

",Jupyter Notebook
100,Silic0nS0ldier,0,"Software Engineer at @Canva. Pushing maintainability, performance, consistency, extensibility (...) ad infinitum.",JavaScript
101,mingkin,1,"NLP,CV",Python
102,ferschke,1,Senior NLP Engineer,Java
103,git-kale,1,"
    CSE junior @IIT-Roorkee | CTF enthusiast | In love with open source
",Makefile
104,helexy22,1,"
    Product and designing
",Python
105,rioastamal,0,A passionate web developer since 2003. Currently work at @AWS as Developer Advocate for Indonesia. Opinions and codes are my own.,PHP
106,jvperrin,0,"Production Reliability Engineer at @Yelp, past Site Manager @ocf",Shell
107,iblancasa,0,Interested in o11y! Working in distributed tracing. Involved with open source communities,Shell
108,HYPJUDY,1,"Don't wait to have a good job, to start to work.",Python
109,ellenmellon,1,PhD Student at UW NLP Research Group,Python
110,qingbusheng,0,i can do it,Shell
111,luizjr,0,"Programador na Empresa Tecno FX, Administrador, Web Developer, empreendedor e blogueiro que dedica parte do tempo para compartilhar conteúdo de qualidade.",Shell
112,pikanglong,0,Performance Marketing | Quantitative Trading,Python
113,JohnMars,0,Android Engineer,Kotlin
114,maurodelazeri,0,C / C++ mainly but not only,Swift
116,myedibleenso,0,computational linguist at the University of Arizona,Python
118,jicjjang,0,enjoy coding 👍,JavaScript
119,denysdovhan,0,Front-end at @wix • Make open source stuff and communities,JavaScript
121,thiennn,0,"Husband, Dad, Coder, Architect, OSS, Creator of SimplCommerce, Microsoft MVP, Technical Manager at NashTech",C#
122,paulhuisman,0,"Freelance Software Engineer from Rotterdam, The Netherlands. React, NextJS, Typescript, Node, VueJS, Laravel and more.",JavaScript
123,quraisahamid,0,Fulltime Software Engineer pursue to go senior software engineer. don't know when.,PHP
124,gsw945,0,"9️⃣ 4️⃣ 5️⃣ love technology, favorite language is Python 👍 ; using 🐧 Linux  OS(Ubuntu) usually.",Python
